sensor_id,data_type,timestamp,heartbeat
1,heart_rate,2024-06-01 13:48:21.004458,126
2,heart_rate,2024-06-01 13:48:22.004458,102
3,heart_rate,2024-06-01 13:48:23.004458,54
3,heart_rate,2024-06-01 13:48:24.004458,155
3,heart_rate,2024-06-01 13:48:25.004458,106
3,heart_rate,2024-06-01 13:48:26.004458,91
3,heart_rate,2024-06-01 13:48:27.004458,171
2,heart_rate,2024-06-01 13:48:28.004458,107
1,heart_rate,2024-06-01 13:48:29.004458,122
2,heart_rate,2024-06-01 13:48:30.004458,132
2,heart_rate,2024-06-01 13:48:31.004458,170
2,heart_rate,2024-06-01 13:48:32.004458,177
3,heart_rate,2024-06-01 13:48:33.004458,151
3,heart_rate,2024-06-01 13:48:34.004458,108
1,heart_rate,2024-06-01 13:48:35.004458,114
3,heart_rate,2024-06-01 13:48:36.004458,122
1,heart_rate,2024-06-01 13:48:37.004458,153
1,heart_rate,2024-06-01 13:48:38.004458,117
2,heart_rate,2024-06-01 13:48:39.004458,172
1,heart_rate,2024-06-01 13:48:40.004458,66
1,heart_rate,2024-06-01 13:48:41.004458,155
3,heart_rate,2024-06-01 13:48:42.004458,163
3,heart_rate,2024-06-01 13:48:43.004458,108
3,heart_rate,2024-06-01 13:48:44.004458,58
2,heart_rate,2024-06-01 13:48:45.004458,53
3,heart_rate,2024-06-01 13:48:46.004458,62
1,heart_rate,2024-06-01 13:48:47.004458,111
1,heart_rate,2024-06-01 13:48:48.004458,70
2,heart_rate,2024-06-01 13:48:49.004458,107
2,heart_rate,2024-06-01 13:48:50.004458,153
3,heart_rate,2024-06-01 13:48:51.004458,152
3,heart_rate,2024-06-01 13:48:52.004458,140
3,heart_rate,2024-06-01 13:48:53.004458,121
2,heart_rate,2024-06-01 13:48:54.004458,114
3,heart_rate,2024-06-01 13:48:55.004458,140
1,heart_rate,2024-06-01 13:48:56.004458,127
3,heart_rate,2024-06-01 13:48:57.004458,110
1,heart_rate,2024-06-01 13:48:58.004458,108
3,heart_rate,2024-06-01 13:48:59.004458,63
2,heart_rate,2024-06-01 13:49:00.004458,128
1,heart_rate,2024-06-01 13:49:01.004458,123
2,heart_rate,2024-06-01 13:49:02.004458,87
2,heart_rate,2024-06-01 13:49:03.004458,57
2,heart_rate,2024-06-01 13:49:04.004458,88
2,heart_rate,2024-06-01 13:49:05.004458,79
1,heart_rate,2024-06-01 13:49:06.004458,67
1,heart_rate,2024-06-01 13:49:07.004458,162
2,heart_rate,2024-06-01 13:49:08.004458,73
2,heart_rate,2024-06-01 13:49:09.004458,87
2,heart_rate,2024-06-01 13:49:10.004458,67
2,heart_rate,2024-06-01 13:49:11.004458,140
3,heart_rate,2024-06-01 13:49:12.004458,83
2,heart_rate,2024-06-01 13:49:13.004458,68
1,heart_rate,2024-06-01 13:49:14.004458,147
1,heart_rate,2024-06-01 13:49:15.004458,85
3,heart_rate,2024-06-01 13:49:16.004458,165
2,heart_rate,2024-06-01 13:49:17.004458,58
1,heart_rate,2024-06-01 13:49:18.004458,161
